Question,Answer,Category,Disease_Name
ধান গাছে পাতা হলুদ হয়ে যাচ্ছে কেন,এটি নাইট্রোজেন ঘাটতি। প্রতিকার: ১) ইউরিয়া সার ৫০-৬০ কেজি/হেক্টর দিন ২) দুই ভাগে প্রয়োগ করুন ৩) মাটির আর্দ্রতা বজায় রাখুন ৪) অতিরিক্ত পানি জমতে দেবেন না।,Disease,পুষ্টি ঘাটতি
ধান গাছের গোড়া পচে যাচ্ছে,এটি শিকড় পচা রোগ। প্রতিকার: ১) জমির পানি নিষ্কাশন নিশ্চিত করুন ২) কার্বেন্ডাজিম ১ গ্রাম/লিটার স্প্রে ৩) আক্রান্ত গাছ তুলে ফেলুন ৪) মাটি জীবাণুমুক্ত করুন।,Disease,শিকড় পচা
ধানের শীষ বের হচ্ছে না,এটি পুষ্টির অভাবজনিত সমস্যা। প্রতিকার: ১) সুষম NPK সার দিন ২) মাটির পরীক্ষা করুন ৩) জৈব সার যোগ করুন ৪) নিয়মিত পর্যবেক্ষণ করুন।,Disease,পুষ্টি সমস্যা
ধান গাছ লম্বা হচ্ছে না,এটি মাটি ও পুষ্টির সমস্যা। প্রতিকার: ১) জৈব সার ব্যবহার করুন ২) মাটির pH ঠিক করুন ৩) সুষম সার প্রয়োগ ৪) আগাছা পরিষ্কার রাখুন।,Disease,মাটি সমস্যা
ধানের ফলন কম হচ্ছে,এটি পরিচর্যার অভাবে ফলন কম। প্রতিকার: ১) নিয়মিত সেচ দিন ২) সুষম সার দিন ৩) পোকা দমন করুন ৪) উন্নত জাত ব্যবহার করুন।,Disease,কম ফলন
ধান পাতায় সাদা দাগ পড়ছে,এটি ছত্রাক রোগ। প্রতিকার: ১) ম্যানকোজেব ২ গ্রাম/লিটার স্প্রে ২) প্রতি ১০ দিনে স্প্রে ৩) আক্রান্ত পাতা সরান ৪) জমি পরিষ্কার রাখুন।,Disease,ছত্রাক
ধান গাছে পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) ইমিডাক্লোপ্রিড ০.৫ মিলি/লিটার ২) হলুদ ফাঁদ ব্যবহার ৩) আগাছা পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,পোকা
ধান গাছ শুকিয়ে যাচ্ছে,এটি উইল্ট রোগ. প্রতিকার: ১) আক্রান্ত গাছ তুলে ফেলুন ২) মাটি জীবাণুমুক্ত করুন ৩) সেচ নিয়ন্ত্রণ ৪) প্রতিরোধী জাত ব্যবহার।,Disease,উইল্ট
ধানের শীষ কালো হয়ে যাচ্ছে,এটি রোগজনিত সমস্যা। প্রতিকার: ১) ফাংগিসাইড স্প্রে করুন ২) আক্রান্ত অংশ কেটে ফেলুন ৩) জমি শুকনা রাখুন ৪) বায়ু চলাচল নিশ্চিত করুন।,Disease,রোগ
ধান গাছে পানি জমে আছে,এটি জলাবদ্ধতা। প্রতিকার: ১) পানি নিষ্কাশন করুন ২) ড্রেন তৈরি করুন ৩) উঁচু বেডে চাষ করুন ৪) অতিরিক্ত সেচ বন্ধ করুন।,Disease,জলাবদ্ধতা
টমেটো গাছ ঝুলে পড়ছে,এটি উইল্ট রোগ। প্রতিকার: ১) রোগমুক্ত চারা ব্যবহার ২) কার্বেন্ডাজিম স্প্রে ৩) মাটি জীবাণুমুক্ত ৪) সেচ নিয়ন্ত্রণ।,Disease,উইল্ট
টমেটো ফল ফেটে যাচ্ছে কেন,এটি পানির ভারসাম্যহীনতা। প্রতিকার: ১) নিয়মিত সেচ দিন ২) হঠাৎ পানি বৃদ্ধি কমান ৩) মাল্চিং করুন ৪) মাটির আর্দ্রতা ঠিক রাখুন।,Disease,পানি সমস্যা
টমেটো গাছে ফুল ঝরে যাচ্ছে,এটি পুষ্টির অভাব। প্রতিকার: ১) পটাশ সার দিন ২) ফুল আসার সময় সার দিন ৩) নিয়মিত পানি দিন ৪) গাছ সুস্থ রাখুন।,Disease,পুষ্টি ঘাটতি
টমেটো পাতায় দাগ পড়ছে,এটি লিফ স্পট রোগ। প্রতিকার: ১) ম্যানকোজেব স্প্রে ২) আক্রান্ত পাতা সরান ৩) প্রতি ১০ দিনে স্প্রে ৪) গাছের দূরত্ব বজায় রাখুন।,Disease,লিফ স্পট
টমেটো গাছে পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) কীটনাশক ব্যবহার ২) হলুদ ফাঁদ ব্যবহার ৩) নিয়মিত পর্যবেক্ষণ ৪) আগাছা পরিষ্কার।,Disease,পোকা
টমেটো ফল পচে যাচ্ছে,এটি ফল পচা রোগ। প্রতিকার: ১) কার্বেন্ডাজিম স্প্রে ২) আক্রান্ত ফল তুলে ফেলুন ৩) পানি নিয়ন্ত্রণ ৪) পরিষ্কার পরিবেশ রাখুন।,Disease,ফল পচা
টমেটো পাতায় হলুদ দাগ,এটি লিফ স্পট। প্রতিকার: ১) ফাংগিসাইড স্প্রে ২) আক্রান্ত পাতা অপসারণ ৩) জমি পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,লিফ স্পট
টমেটো গাছ বাড়ছে না,এটি পুষ্টির অভাব। প্রতিকার: ১) NPK সার দিন ২) জৈব সার যোগ করুন ৩) মাটি পরীক্ষা করুন ৪) নিয়মিত পরিচর্যা।,Disease,পুষ্টি ঘাটতি
টমেটোতে সাদা পোকা,এটি সাদা মাছি। প্রতিকার: ১) ইমিডাক্লোপ্রিড স্প্রে ২) হলুদ স্টিকি ট্র্যাপ ৩) আগাছা পরিষ্কার ৪) প্রতি ৭ দিনে স্প্রে।,Disease,সাদা মাছি
টমেটো পাতায় ছিদ্র হচ্ছে,এটি পোকা আক্রমণ। প্রতিকার: ১) স্পাইনোসাড স্প্রে ২) আক্রান্ত পাতা কেটে ফেলুন ৩) আগাছা পরিষ্কার ৪) নিয়মিত পর্যবেক্ষণ।,Disease,পোকা
বেগুন গাছে ফল হচ্ছে না,এটি পরাগায়ন সমস্যা। প্রতিকার: ১) মৌমাছি আকর্ষণ করুন ২) সুষম সার দিন ৩) পানি নিয়ন্ত্রণ ৪) গাছ সুস্থ রাখুন।,Disease,ফল না হওয়া
বেগুন পাতায় দাগ পড়ছে,এটি লিফ স্পট রোগ। প্রতিকার: ১) ম্যানকোজেব স্প্রে ২) আক্রান্ত পাতা সরান ৩) নিয়মিত স্প্রে ৪) জমি পরিষ্কার।,Disease,লিফ স্পট
বেগুন গাছ শুকিয়ে যাচ্ছে,এটি উইল্ট রোগ। প্রতিকার: ১) আক্রান্ত গাছ তুলে ফেলুন ২) মাটি জীবাণুমুক্ত করুন ৩) সেচ নিয়ন্ত্রণ ৪) প্রতিরোধী জাত।,Disease,উইল্ট
বেগুন গাছে ফুল ঝরে যাচ্ছে,এটি ফুল ঝরা সমস্যা। প্রতিকার: ১) পটাশ সার দিন ২) পানি নিয়ন্ত্রণ ৩) তাপমাত্রা নিয়ন্ত্রণ ৪) গাছের যত্ন নিন।,Disease,ফুল ঝরা
বেগুন পাতায় পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) কীটনাশক স্প্রে ২) আগাছা পরিষ্কার ৩) আক্রান্ত পাতা সরান ৪) নিয়মিত পর্যবেক্ষণ।,Disease,পোকা
বেগুনে ছিদ্র হচ্ছে,এটি ফল ছিদ্রকারী পোকা। প্রতিকার: ১) আক্রান্ত ফল ধ্বংস করুন ২) সাইপারমেথ্রিন স্প্রে করুন।,Pest,ফল ছিদ্রকারী
বেগুন ফল ছোট হচ্ছে,এটি পুষ্টির অভাব। প্রতিকার: ১) সুষম সার দিন ২) পটাশ সার প্রয়োগ করুন।,Disease,পুষ্টি ঘাটতি
বেগুন গাছে কালো দাগ,এটি ছত্রাকজনিত সমস্যা। প্রতিকার: ১) ফাংগিসাইড স্প্রে ২) আক্রান্ত ডাল ছাঁটাই।,Disease,ছত্রাক
বেগুন গাছ মরে যাচ্ছে,এটি ব্যাকটেরিয়াল উইল্ট। প্রতিকার: ১) আক্রান্ত গাছ পুড়িয়ে ফেলা ২) সেচ নিয়ন্ত্রণ।,Disease,উইল্ট
বেগুন পাতায় হলুদ দাগ,এটি পুষ্টির অভাব অথবা ভাইরাস। প্রতিকার: ১) সুষম সার ব্যবহার ২) পোকা দমন।,Disease,পুষ্টি ঘাটতি
আলু গাছ হলুদ হয়ে যাচ্ছে,এটি নাইট্রোজেন ঘাটতি। প্রতিকার: ১) ইউরিয়া দিন ২) সুষম সার ব্যবহার ৩) পানি দিন ৪) মাটি পরীক্ষা।,Disease,পুষ্টি ঘাটতি
আলুতে পচা রোগ হয়েছে,এটি রট রোগ। প্রতিকার: ১) কার্বেন্ডাজিম স্প্রে ২) আক্রান্ত অংশ সরান ৩) পানি নিষ্কাশন ৪) পরিষ্কার রাখুন।,Disease,রট
আলুতে কালো দাগ পড়ছে,এটি ব্লাইট রোগ। প্রতিকার: ১) ম্যানকোজেব স্প্রে ২) প্রতি ৭-১০ দিনে স্প্রে ৩) আক্রান্ত পাতা সরান ৪) বায়ু চলাচল রাখুন।,Disease,ব্লাইট
আলু গাছে পানি জমে আছে,এটি জলাবদ্ধতা। প্রতিকার: ১) পানি নিষ্কাশন ২) ড্রেন তৈরি ৩) উঁচু জমিতে চাষ ৪) সেচ নিয়ন্ত্রণ।,Disease,জলাবদ্ধতা
আলুতে পোকা ধরেছে,এটি পোকা আক্রমণ। প্রতিকার: ১) কীটনাশক স্প্রে ২) আক্রান্ত অংশ সরান ৩) আগাছা পরিষ্কার ৪) পর্যবেক্ষণ।,Disease,পোকা
মাটির উর্বরতা কমে গেছে,মাটির উর্বরতা কম। সমাধান: ১) জৈব সার দিন ২) সবুজ সার ব্যবহার ৩) ফসল আবর্তন ৪) মাটি পরীক্ষা করুন।,Soil,উর্বরতা হ্রাস
মাটিতে লবণাক্ততা বেড়েছে,মাটিতে লবণাক্ততা। সমাধান: ১) লবণ সহনশীল ফসল ২) জিপসাম ব্যবহার ৩) সেচ বৃদ্ধি ৪) ড্রেনেজ উন্নত করুন।,Soil,লবণাক্ততা
মাটিতে আগাছা বেশি হচ্ছে,আগাছা সমস্যা। সমাধান: ১) আগাছা পরিষ্কার ২) মাল্চিং ৩) হার্বিসাইড ব্যবহার ৪) নিয়মিত পরিচর্যা।,Soil,আগাছা
মাটি শক্ত হয়ে গেছে,মাটি শক্ত। সমাধান: ১) জৈব সার দিন ২) গভীর চাষ করুন ৩) পানি দিন ৪) মাটি ঝুরঝুরে করুন।,Soil,মাটি শক্ত
মাটিতে পানি ধরে না,পানি ধারণ কম। সমাধান: ১) জৈব সার যোগ ২) মাল্চিং ৩) মাটি উন্নত ৪) নিয়মিত সেচ।,Soil,পানি সমস্যা
ধান গাছে সার কখন দেব,"ধান গাছে সার: ১) রোপণের ২০-২৫ দিন পর প্রথম ২) কুশি আসার সময় দ্বিতীয় ৩) ইউরিয়া, টিএসপি, এমওপি ব্যবহার ৪) সেচ দিয়ে দিন।",Fertilizer,সার প্রয়োগ
ধানের জন্য কোন সার ভালো,"সার নির্বাচন: ১) নাইট্রোজেন, ফসফরাস, পটাশ ২) মাটি পরীক্ষার উপর নির্ভর ৩) জৈব + রাসায়নিক সার ৪) সুষম ব্যবহার।",Fertilizer,সার নির্বাচন
গমে ইউরিয়া কত লাগবে,গমে ইউরিয়া: ১) মোট ৫০-৬০ কেজি/হেক্টর ২) দুই ভাগে প্রয়োগ ৩) সেচের আগে দিন ৪) জমি আর্দ্র রাখুন।,Fertilizer,ইউরিয়া
টমেটোতে সার কতবার দিতে হয়,টমেটোতে সার: ১) ২-৩ বার প্রয়োগ ২) ফুলের সময় বাড়ান ৩) জৈব সার দিন ৪) সেচের সাথে দিন।,Fertilizer,সার প্রয়োগ
বেগুনে জৈব সার ব্যবহার কীভাবে,জৈব সার ব্যবহার: ১) মাটির সাথে মিশান ২) জমি প্রস্তুত সময় দিন ৩) নিয়মিত ব্যবহার ৪) মাটির গুণ বাড়ায়।,Fertilizer,জৈব সার
ধান গাছে বাদামী দাগ পড়ছে কি করব,এটি ব্লাস্ট রোগ। প্রতিকার: ১) ট্রাইসাইক্লাজল ৭৫% ডব্লিউপি ১ গ্রাম প্রতি লিটার পানিতে ছিটান ২) প্রতি ১০ দিনে স্প্রে করুন ৩) জমির নিকাশ ভাল রাখুন ৪) আক্রান্ত গাছ তুলে পুড়িয়ে ফেলুন ৫) চুন ছিটান।,Disease,ব্লাস্ট রোগ
ধান গাছে পাতার ডগা শুকিয়ে যাচ্ছে,এটি শিথুলিরোগ বা লিফ ব্লচ। প্রতিকার: ১) ম্যানকোজেব ৭৫% ডব্লিউপি ২ গ্রাম প্রতি লিটার ২) স্টেপটোসাইক্লিন ২ গ্রাম প্রতি লিটার ৩) প্রতি ১০ দিনে স্প্রে ৪) জলভাব দূর করুন।,Disease,শিথুলিরোগ
ধান গাছে সাদা পাউডার দেখছি,এটি পাউডারি মিলডিউ। প্রতিকার: ১) সালফার ৮% ডব্লিউপি ৫ গ্রাম প্রতি লিটার ২) কার্বেন্ডাজিম ৫ গ্রাম প্রতি লিটার ৩) স্প্রে করুন সপ্তাহে দুইবার।,Disease,পাউডারি মিলডিউ
আলু গাছে পাতা কুঁকড়ে যাচ্ছে,এটি লিফ রোল ভাইরাস বা আলুর মোজাইক ভাইরাস। প্রতিকার: ১) রোগমুক্ত বীজ ব্যবহার করুন ২) আক্রান্ত গাছ সরাবেন ৩) পরগাছা দমন করুন ৪) ইমিডাক্লোপ্রিড ১৭.৮% এসএল ০.৫ মিলি প্রতি লিটার।,Disease,লিফ রোল ভাইরাস
আলু গাছে পাতা কালো হয়ে যাচ্ছে,এটি আলুর লেট ব্লাইট বা আর্লি ব্লাইট। প্রতিকার: ১) ম্যানকোজেব ৭৫% ডব্লিউপি ২-২.৫ গ্রাম প্রতি লিটার ২) প্রথম স্প্রে ফুল আসার সময় ৩) ১০-১২ দিন পরপর স্প্রে ৪) আক্রান্ত পাতা ছিঁড়ে ফেলুন।,Disease,আর্লি ব্লাইট
টমেটো গাছে ছোট গর্ত হচ্ছে,এটি পুঁচকে রোগ বা ফল ছিদ্রকারী পোকা। প্রতিকার: ১) ক্লোরপাইরিফস ২০% ইসি ২.৫ মিলি প্রতি লিটার ২) স্পাইনোসাড ৪৫% এসি ০.৩ মিলি প্রতি লিটার ৩) প্রতি ১৫ দিনে স্প্রে করুন।,Disease,পুঁচকে রোগ
বেগুন গাছে ছোট কীড়া দেখছি,এটি বেগুনের শুটবোরার। প্রতিকার: ১) বেগুন রোপণের পরে প্রতি ১০ দিনে স্প্রে শুরু করুন ২) কার্বারিল ৫০% ডব্লিউপি ৩ গ্রাম প্রতি লিটার ৩) স্পাইনোসাড ব্যবহার করুন।,Disease,শুটবোরার
পেঁয়াজ গাছে রোগ হয়েছে,এটি থ্রিপস বা ব্লিচ রোগ। প্রতিকার: ১) ট্রাইজফস ৪০% ইসি ২.৫ মিলি প্রতি লিটার ২) প্রতি ১০ দিনে স্প্রে ৩) সালফার ছিটান ৪) আগাছা দূর করুন।,Disease,ব্লিচ রোগ
গাজর গাছে পাতা হলুদ হচ্ছে,এটি শিরা সংকোচন বা পাতায় দাগ রোগ। প্রতিকার: ১) ম্যানকোজেব ২ গ্রাম প্রতি লিটার ২) কপার অক্সিক্লোরাইড ১ গ্রাম প্রতি লিটার ৩) প্রতি ১০ দিনে স্প্রে করুন।,Disease,শিরা সংকোচন
শাক গাছে সাদা মাছি দেখছি,এটি সাদা মাছি বা জাসিড। প্রতিকার: ১) ইমিডাক্লোপ্রিড ১৭.৮% এসএল ০.৫ মিলি প্রতি লিটার ২) অ্যাসিটামিপ্রিড ২০% এসপি ০.৪ গ্রাম প্রতি লিটার ৩) প্রতি ১৫ দিনে স্প্রে।,Disease,সাদা মাছি
জৈব সার কীভাবে তৈরি করব,জৈব সার তৈরি: ১) ঝড়া পাতা ৫০ কেজি + গাছের ডাল ৫০ কেজি ২) গোবর ২৫ কেজি মিশান ৩) পানি ছিটিয়ে ঢেকে রাখুন ৪) ২-৩ মাস পর ব্যবহার করুন ৫) প্রতি বর্গমিটারে ৫ কেজি দিন।,Fertilizer,জৈব সার
ইউরিয়া সার কত দেব,ইউরিয়া সার: ১) ধানে ২ বার ব্যবহার - রোপণের ২০-২৫ দিন পর প্রথম ৩০ কেজি ২) দ্বিতীয় বার কুশি আসার সময় ৩০ কেজি ৩) প্রতি হেক্টরে মোট ৬০ কেজি ৪) ছিটিয়ে দিয়ে হালকা সেচ দিন।,Fertilizer,ইউরিয়া সার
গাছে কখন সার দিতে হয়,সার দেওয়ার সময়: ১) ভিত্তি সার - জমি তৈরির সময় ২) শীর্ষ সার - গাছ বৃদ্ধির সময় ৩) ফুল আসার আগে অতিরিক্ত সার ৪) ফুল ফোটার পর দরকার হলে আরও সার।,Fertilizer,সার প্রয়োগ
গোবর সার কীভাবে ব্যবহার করব,গোবর সার ব্যবহার: ১) প্রতি হেক্টরে ১০ টন গোবর সার প্রয়োজন ২) জমি তৈরির সময় মিশিয়ে দিন ৩) পচা গোবর ভাল ফল দেয় ৪) খরিফ মৌসুমে দেওয়া ভাল।,Fertilizer,গোবর সার
নিম খোল সার এর ব্যবহার,নিম খোল সার: ১) প্রতি লিটার পানিতে ৫০ গ্রাম নিম খোল ভিজিয়ে রাখুন ২) ২৪ ঘণ্টা পর ছেকে স্প্রে করুন ৩) পোকা দমনে বেশি কার্যকর ৪) পরিবেশবান্ধব এবং নিরাপদ।,Fertilizer,নিম খোল
ত্রিকোডারমা কীভাবে প্রয়োগ করব,ত্রিকোডারমা প্রয়োগ: ১) ১ কেজি ত্রিকোডারমা + ১০০ কেজি গোবর সার মিশান ২) জমি তৈরির সময় প্রয়োগ করুন ৩) মাটির রোগ দমনে কার্যকর ৪) ছত্রাক রোগ প্রতিরোধ করে।,Fertilizer,ত্রিকোডারমা
জিঙ্ক সার এর দোষ কী,জিঙ্ক সার: ১) জিঙ্কের অভাবে পাতা সাদা দাগযুক্ত হয় ২) জিঙ্ক সালফেট ৫-১০ কেজি প্রতি হেক্টর ৩) স্প্রে করলে ০.৫% দ্রবণ ব্যবহার করুন ৪) প্রতি ৩-৪ বছরে একবার দিন।,Fertilizer,জিঙ্ক সার
কম্পোস্ট সার কীভাবে তৈরি হয়,কম্পোস্ট সার তৈরি: ১) পাতা + ঝড়া ডাল ৫০% ২) রান্নার অবশেষ ২০% ৩) গোবর ২০% ৪) মাটি ১০% মিশান ৫) পানি দিয়ে ২ মাস রাখুন।,Fertilizer,কম্পোস্ট
পটাশ সার কত দেওয়া লাগে,পটাশ সার: ১) প্রতি হেক্টরে ৪০ কেজি পটাশ প্রয়োজন ২) মিউরেট অফ পটাশ (এমওপি) ব্যবহার করুন ৩) ফুল এবং ফল বৃদ্ধি বাড়ায় ৪) তৈরি সবজিতে বিশেষ দরকার।,Fertilizer,পটাশ সার
ফসফেট সার এর ভূমিকা কী,ফসফেট সার ভূমিকা: ১) শিকড় বৃদ্ধিতে সাহায্য করে ২) ফুল এবং ফল আকার বাড়ায় ৩) প্রতি হেক্টরে ৬০-৮০ কেজি দরকার ৪) রোগ প্রতিরোধ ক্ষমতা বাড়ায়।,Fertilizer,ফসফেট সার
ধান রোপণের সঠিক সময় কখন,ধান রোপণের সময়: ১) আউশ ধান - মে থেকে জুন ২) আমন ধান - জুলাই থেকে আগস্ট ৩) বোরো ধান - নভেম্বর থেকে ডিসেম্বর ৪) প্রতিটি মৌসুমে সঠিক সময় গুরুত্বপূর্ণ।,Planting,ধান রোপণ
বীজ বপনের দূরত্ব কত হবে,বীজ বপনের দূরত্ব: ১) ধান - ২০x১৫ সেমি ২) গম - ২০x১০ সেমি ৩) সবজি - ৩০x২০ সেমি ৪) আলু - ২৫x২০ সেমি ৫) সঠিক দূরত্ব ভাল ফলন দেয়।,Planting,বীজ দূরত্ব
আলু রোপণের সঠিক গভীরতা,আলু রোপণের গভীরতা: ১) গভীরতা হবে ৭-১০ সেমি ২) বীজ আলু ২৫-৩০ গ্রাম করে কাটুন ৩) রোপণ দূরত্ব ২০x২৫ সেমি ৪) ডিসেম্বর-জানুয়ারি রোপণের সময়।,Planting,আলু গভীরতা
সবজি বীজ বপনের সময় কী,সবজি বীজ বপনের সময়: ১) টমেটো - সারা বছর ২) মরিচ - ফেব্রুয়ারি-মার্চ ৩) বেগুন - মার্চ-এপ্রিল ৪) পালংশাক - সারা বছর ৫) প্রতিটির নিজস্ব সময় আছে।,Planting,সবজি বীজ
আউশ ধান কখন লাগাতে হয়,আউশ ধান লাগানো: ১) মে-জুন মাসে রোপণ করুন ২) ২৫-৩০ দিন বয়সের চারা ব্যবহার করুন ৩) প্রতি বর্গমিটারে ৫টি গুঁড়ি রাখুন ৪) সেপ্টেম্বর-অক্টোবরে কাটা যায়।,Planting,আউশ ধান
বোরো ধান রোপণের সময় কি,বোরো ধান রোপণ: ১) নভেম্বর-ডিসেম্বরে রোপণ ২) আগে নার্সারিতে বীজ বপন করুন ৩) ৪০-৫০ দিন পর চারা তৈরি ৪) ২০x১৫ সেমি দূরত্ব রাখুন।,Planting,বোরো ধান
টমেটো চারা রোপণের দূরত্ব,টমেটো চারা দূরত্ব: ১) ৬০x৪৫ সেমি দূরত্ব রাখুন ২) প্রতি বর্গমিটারে ৩টি গাছ ৩) চারা রোপণের সময় সাপোর্ট দিন ৪) ১০০-১২০ দিনে ফল পাবেন।,Planting,টমেটো রোপণ
সরিষা বীজ বপনের হার,সরিষা বীজ বোনা: ১) সরিষা বীজের হার ২-২.৫ কেজি প্রতি হেক্টর ২) সেপ্টেম্বর-অক্টোবরে বোন ৩) সারিতে ৩০ সেমি দূরত্ব ৪) ৯০-১০০ দিনে ফসল পাবেন।,Planting,সরিষা বীজ
ভুট্টা বীজ বপনের সময়,ভুট্টা বীজ বপন: ১) এপ্রিল-জুন বা অক্টোবর-নভেম্বরে বপন ২) দূরত্ব ৬০x২০ সেমি ৩) বীজের হার ২০-২৫ কেজি প্রতি হেক্টর ৪) ৮০-১০০ দিনে পরিপক্ক হয়।,Planting,ভুট্টা বীজ
পাট বীজ কখন বোতে হয়,পাট বীজ বপন: ১) মার্চ-এপ্রিলে বীজ বপন করুন ২) দূরত্ব ১০x১০ সেমি ৩) বীজের হার ৫ কেজি প্রতি হেক্টর ৪) জুলাই-আগস্টে কাটা যায়।,Planting,পাট বীজ
